측정일시,권역명,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20220101,동남권,강남구,0.029,0.014,0.5,0.003,25,12
20220101,동남권,강동구,0.032,0.01,0.5,0.003,32,15
20220101,동북권,강북구,0.03,0.012,0.6,0.003,32,16
20220101,서남권,강서구,0.031,0.017,0.6,0.004,30,12
20220101,서남권,관악구,0.037,0.011,0.6,0.003,24,13
20220101,동북권,광진구,0.033,0.013,0.8,0.001,25,13
20220101,서남권,구로구,0.031,0.019,0.4,0.003,27,10
20220101,서남권,금천구,0.043,0.01,0.6,0.004,26,16
20220101,동북권,노원구,0.035,0.011,0.7,0.004,32,19
20220101,동북권,도봉구,0.034,0.011,0.8,0.002,32,16
20220101,동북권,동대문구,0.034,0.013,0.5,0.003,28,20
20220101,서남권,동작구,0.039,0.011,0.5,0.003,30,16
20220101,서북권,마포구,0.036,0.011,0.5,0.003,23,13
20220101,서북권,서대문구,0.034,0.012,0.7,0.005,28,18
20220101,동남권,서초구,0.033,0.014,0.5,0.003,21,12
20220101,동북권,성동구,0.03,0.013,0.5,0.004,27,9
20220101,동북권,성북구,0.041,0.011,0.7,0.003,25,13
20220101,동남권,송파구,0.034,0.013,0.6,0.004,28,14
20220101,서남권,양천구,0.033,0.013,0.6,0.003,27,16
20220101,서남권,영등포구,0.03,0.014,0.5,0.003,26,14
20220101,도심권,용산구,0.032,0.011,0.5,0.003,28,14
20220101,서북권,은평구,0.027,0.016,0.8,0.004,22,14
20220101,도심권,종로구,0.036,0.012,0.6,0.004,27,15
20220101,도심권,중구,0.035,0.015,0.5,0.003,28,17
20220101,동북권,중랑구,0.028,0.017,0.4,0.003,25,12
20220102,동남권,강남구,0.027,0.016,0.5,0.003,35,22
20220102,동남권,강동구,0.026,0.014,0.5,0.002,40,27
20220102,동북권,강북구,0.029,0.016,0.6,0.003,43,26
20220102,서남권,강서구,0.028,0.018,0.6,0.004,39,22
20220102,서남권,관악구,0.034,0.013,0.6,0.003,31,22
20220102,동북권,광진구,0.03,0.015,0.8,0.001,33,24
20220102,서남권,구로구,0.029,0.021,0.4,0.003,36,19
20220102,서남권,금천구,0.028,0.022,0.5,0.004,35,20
20220102,동북권,노원구,0.026,0.019,0.5,0.003,38,27
20220102,동북권,도봉구,0.025,0.019,0.8,0.002,36,25
20220102,동북권,동대문구,0.029,0.017,0.5,0.003,37,31
20220102,서남권,동작구,0.032,0.017,0.5,0.003,39,26
20220102,서북권,마포구,0.031,0.015,0.5,0.003,30,22
20220102,서북권,서대문구,0.031,0.015,0.5,0.004,34,24
20220102,동남권,서초구,0.025,0.02,0.5,0.003,29,22
20220102,동북권,성동구,0.028,0.016,0.5,0.003,37,18
20220102,동북권,성북구,0.034,0.015,0.7,0.003,31,22
20220102,동남권,송파구,0.036,0.008,0.5,0.003,32,22
20220102,서남권,양천구,0.03,0.015,0.6,0.003,36,27
20220102,서남권,영등포구,0.03,0.015,0.5,0.003,34,23
20220102,도심권,용산구,0.026,0.015,0.5,0.003,33,23
20220102,서북권,은평구,0.024,0.019,0.9,0.004,33,25
20220102,도심권,종로구,0.03,0.017,0.6,0.003,36,26
20220102,도심권,중구,0.032,0.017,0.6,0.004,37,27
20220102,동북권,중랑구,0.03,0.017,0.5,0.003,36,22
20220103,동남권,강남구,0.034,0.009,0.5,0.003,25,14
20220103,동남권,강동구,0.037,0.007,0.5,0.003,31,17
20220103,동북권,강북구,0.032,0.011,0.5,0.003,26,14
20220103,서남권,강서구,0.037,0.01,0.6,0.004,30,14
20220103,서남권,관악구,0.04,0.009,0.6,0.003,23,13
20220103,동북권,광진구,0.041,0.006,0.9,0.001,24,16
20220103,서남권,구로구,0.035,0.014,0.4,0.003,27,11
20220103,서남권,금천구,0.043,0.007,0.5,0.004,22,14
20220103,동북권,노원구,0.035,0.011,0.6,0.003,26,17
20220103,동북권,도봉구,0.033,0.011,0.8,0.002,25,15
20220103,동북권,동대문구,0.039,0.009,0.6,0.003,27,20
